Accession	Name	Cluster	Subcluster	PEQtoCluRepr	Grose_Casjens_Cluster	Gros_Casjens_Subcluster
NC_061433.1	Pseudomonas phage Spike, complete genome	78	1	0.85979		
NC_026601.1	Pseudomonas phage vB PaeS PAO1 Ab30, complete genome	78	1	0.67967		
NC_061437.1	Pseudomonas phage vB PaeS PAO1 HW12 genome assembly, complete genome: monopartite	78	1	0.755498		
NC_061432.1	Pseudomonas phage YMC12 1 R24, complete genome	78	1	0.806615		
NC_061434.1	Pseudomonas phage YMC12 1 R960, complete genome	78	1	1		
NC_073046.1	Baciilus phage vB BanS Booya, complete genome	79	1	0.726445		
NC_007457.1	Bacillus anthracis phage Cherry, complete genome	79	1	0.908455		
NC_073041.1	Bacillus anthracis phage Gamma isolate 53, complete genome	79	1	0.909535		
NC_073040.1	Bacillus phage AP631, complete genome	79	1	0.800407		
NC_018085.1	Bacillus phage BtCS33, complete genome	79	2	0.336690999999999		
NC_073042.1	Bacillus phage Carmel SA, complete genome	79	1	0.7452		
NC_073043.1	Bacillus phage F16Ba, complete genome	79	1	0.788956		
NC_007814.1	Bacillus phage Fah, complete genome	79	1	1		
NC_007458.1	Bacillus phage Gamma, complete genome	79	1	0.909547		
NC_073048.1	Bacillus phage J5a, complete genome	79	1	0.734205		
NC_073044.1	Bacillus phage Negev SA, complete genome	79	1	0.772954		
NC_023599.1	Bacillus phage phiCM3, complete genome	79	2	0.362010999999999		
NC_019502.1	Bacillus phage phIS3501, complete genome	79	2	0.394556		
NC_073047.1	Bacillus phage Tavor SA, complete genome	79	1	0.648864		
NC_073045.1	Bacillus Phage vB BanS McSteamy, complete genome	79	1	0.767242		
NC_007734.1	Bacillus phage WBeta, complete genome	79	1	0.927654		
NC_073049.1	Bacillus phage z1a, complete genome	79	1	0.731023		
NC_004466.2	Pseudomonas aeruginosa phage PaP3, complete genome	80	1	0.738782		
NC_042103.1	Pseudomonas phage Bjorn, complete genome	80	3	0.344172		
NC_028919.1	Pseudomonas phage DL54, complete genome	80	1	0.919273		
NC_010325.1	Pseudomonas phage LUZ24, complete genome	80	1	0.847276		
NC_042107.1	Pseudomonas phage NV1, complete genome	80	2	0.448485		
NC_042343.1	Pseudomonas phage PaP4, complete genome	80	1	0.891637		
NC_028933.1	Pseudomonas phage PhiCHU, complete genome	80	1	0.719186		
NC_022971.1	Pseudomonas phage phiIBB-PAA2, complete genome	80	1	1		
NC_017971.2	Pseudomonas phage tf complete genome	80	4	0.358423999999999		
NC_023583.1	Pseudomonas phage TL complete genome	80	1	0.819121		
NC_018850.2	Pseudomonas phage UFV-P2, complete genome	80	2	0.446984		
NC_026599.1	Pseudomonas phage vB PaeP C2-10 Ab22, complete genome	80	1	0.855134		
NC_019813.1	Pseudomonas phage vB PaeP p2-10 Or1, complete genome	80	1	0.695086		
NC_048822.1	Gordonia phage Avazak, complete genome	81	1	0.603016		
NC_048810.1	Gordonia phage Chikenjars, complete genome	81	1	0.816389		
NC_048825.1	Gordonia phage Crocheter, complete genome	81	1	0.90205		
NC_048750.1	Gordonia phage Duffington, complete genome	81	1	0.82439		
NC_048793.1	Gordonia phage Kenosha, complete genome	81	1	1		
NC_048816.1	Gordonia phage OhMyWard, complete genome	81	1	0.717106999999999		
NC_048749.1	Gordonia phage Rickmore, complete genome	81	1	0.807776		
NC_048876.1	Gordonia phage Secretariat, complete genome	81	1	0.637744		
NC_048817.1	Gordonia phage Tanis, complete genome	81	1	0.617784		
NC_048823.1	Gordonia phage Untouchable, complete genome	81	1	0.921764		
NC_023735.1	Rhodococcus phage ReqiPepy6, complete genome	81	2	0.373971999999999		
NC_023694.1	Rhodococcus phage ReqiPoco6, complete genome	81	2	0.362152999999999		
NC_027987.1	Leuconostoc phage 1-A4, complete genome	82	2	0.286068		
NC_054986.1	Leuconostoc phage LDG, complete genome	82	1	0.734532		
NC_018273.1	Leuconostoc phage Lmd1, complete genome	82	1	0.914295		
NC_054988.1	Leuconostoc phage Ln-7, complete genome	82	2	0.260036999999999		
NC_027377.1	Leuconostoc phage Ln-8, complete genome	82	2	0.288594		
NC_027358.1	Leuconostoc phage Ln-9, complete genome	82	2	0.295392		
NC_020880.1	Leuconostoc phage P793, complete genome	82	1	0.819598		
NC_054987.1	Leuconostoc phage P965, complete genome	82	1	0.774799999999999		
NC_024390.1	Leuconostoc phage phiLN03, complete genome	82	1	0.860754999999999		
NC_020870.1	Leuconostoc phage phiLN04, complete genome	82	1	1		
NC_024385.1	Leuconostoc phage phiLN12, complete genome	82	1	0.869631		
NC_024386.1	Leuconostoc phage phiLN25, complete genome	82	2	0.293587		
NC_024388.1	Leuconostoc phage phiLN34, complete genome	82	2	0.320677		
NC_024380.1	Leuconostoc phage phiLN6B, complete genome	82	1	0.936256		
NC_024389.1	Leuconostoc phage phiLNTR2, complete genome	82	2	0.319032		
NC_024378.1	Leuconostoc phage phiLNTR3, complete genome	82	2	0.32072		
NC_031121.2	Bacillus phage Aurora, complete genome	83	1	0.763612		
NC_055905.1	Bacillus phage Baseball field, complete genome	83	1	0.829071		
NC_031015.2	Bacillus phage Claudi, complete genome	83	1	0.868198999999999		
NC_049967.1	Bacillus phage DK1, complete genome	83	2	0.507638		
NC_049968.1	Bacillus phage DK2, complete genome	83	2	0.541520999999999		
NC_049969.1	Bacillus phage DK3, complete genome	83	2	0.546292999999999		
NC_055908.1	Bacillus phage DLc1, complete genome	83	4	0.478634		
NC_049963.1	Bacillus phage Juan, complete genome	83	1	0.820091		
NC_049964.1	Bacillus phage KonjoTrouble, complete genome	83	1	1		
NC_021336.1	Bacillus phage MG-B1, complete genome	83	3	0.475688		
NC_049959.1	Bacillus phage QCM11, complete genome	83	1	0.819551		
NC_049962.1	Bacillus phage SerPounce, complete genome	83	1	0.793558		
NC_031032.1	Bacillus phage Stitch, complete genome	83	1	0.829701999999999		
NC_055914.1	Bacillus phage Thornton, complete genome	83	1	0.913729		
NC_049966.1	Bacillus phage vB BthP-Goe4, complete genome	83	1	0.748391		
NC_004165.1	Bacillus phage B103, complete genome	84	1	0.639999		
NC_002649.1	Bacillus phage GA-1, complete genome	84	3	0.260792		
NC_049974.1	Bacillus phage Gxv1, complete genome	84	1	0.89379		
NC_049970.1	Bacillus phage Karezi, complete genome	84	4	0.274699		
NC_049976.1	Bacillus phage Nf, complete genome	84	1	0.631054999999999		
NC_011048.1	Bacillus phage phi29, complete genome	84	1	0.968989		
NC_049973.1	Bacillus phage SRT01hs, complete genome	84	3	0.262911		
NC_049971.1	Bacillus phage vB Bpu PumA1, complete genome	84	2	0.292887		
NC_049972.1	Bacillus phage vB Bpu PumA2, complete genome	84	2	0.290362		
NC_049975.1	Bacillus phage vB BsuP-Goe1, complete genome	84	1	0.636343		
NC_049965.1	Bacillus phage vB BveP-Goe6, complete genome	84	1	1		
NC_055917.2	Bacillus phage WhyPhy, complete genome	84	2	0.298872		
NC_001423.1	Bacteriophage PZA (from B.subtilis), complete genome	84	1	0.943984		
NC_054434.1	Gordonia phage Catfish, complete genome	85	5	0.446293		
NC_054435.1	Gordonia phage Dardanus, complete genome	85	3	0.475628999999999		
NC_030932.1	Gordonia phage Gsput1, complete genome	85	2	0.373747999999999		
NC_054436.1	Gordonia phage Schmidt, complete genome	85	4	0.385642999999999		
NC_030927.1	Gordonia phage Splinter, complete genome	85	1	1		
NC_054437.1	Gordonia phage TinaLin, complete genome	85	1	0.625693		
NC_054438.1	Gordonia phage TZGordon, complete genome	85	1	0.826648		
NC_030911.1	Gordonia phage Vendetta, complete genome	85	1	0.999861		
NC_031920.1	Streptococcus phage phiARI0004, complete genome	86	1	0.855815		
NC_031910.1	Streptococcus phage phiARI0031, complete genome	86	1	0.85013		
NC_031901.1	Streptococcus phage phiARI0131-1, complete genome	86	1	0.515659		
NC_031913.1	Streptococcus phage phiARI0460-1, complete genome	86	1	0.361525		
NC_031942.1	Streptococcus phage phiARI0462, complete genome	86	1	0.700415		
NC_031929.1	Streptococcus phage phiARI0468-1, complete genome	86	1	1		
NC_031923.1	Streptococcus phage phiARI0468-2, complete genome	86	1	0.666147		
NC_031907.1	Streptococcus phage phiARI0746, complete genome	86	2	0.373372		
NC_010821.1	Pseudomonas phage 201phi2-1, complete genome	87	4	0.242419999999999		
NC_062582.1	Pseudomonas phage Phabio, complete genome	87	6	0.243356		
NC_004629.1	Pseudomonas phage phiKZ, complete genome	87	1	0.915609		
NC_028999.1	Pseudomonas phage PhiPA3, complete genome	87	5	0.284964		
NC_062581.1	Pseudomonas phage Psa21, complete genome	87	2	0.247741		
NC_042081.1	Pseudomonas phage SL2, complete genome	87	1	1		
NC_070882.1	Pseudomonas phage vB PaeM PS119XW, complete genome	87	3	0.311689		
NC_019401.1	Cronobacter phage vB CsaM GAP32, complete genome	88	3	1		
NC_025447.1	Escherichia phage 121Q, complete genome	88	4	0.296918		
NC_027364.1	Escherichia phage PBECO 4, complete genome	88	4	0.297207		
NC_027399.1	Klebsiella phage K64-1 DNA, complete genome	88	2	0.249391		
NC_041878.1	Pectobacterium phage CBB, complete genome	88	3	0.732355		
NC_041917.1	Serratia phage BF, complete genome	88	1	0.568087999999999		
NC_042116.1	Yersinia phage fHe-Yen9-04 genome assembly, complete genome: monopartite	88	1	0.546589		
NC_055873.1	CrAssphage cr1 1, complete genome	89	1	0.551507		
NC_055875.1	CrAssphage cr10 1, complete genome	89	3	0.28212		
NC_055868.1	CrAssphage cr50 1, complete genome	89	2	0.452006		
NC_055869.1	CrAssphage cr55 1, complete genome	89	1	0.600867		
NC_062767.1	Uncultured phage cr149 1, complete genome	89	1	1		
NC_062765.1	Uncultured phage cr30 1, complete genome	89	2	0.476422		
NC_062772.1	Uncultured phage cr77 1, complete genome	89	4	0.435586999999999		
NC_047743.1	Burkholderia phage Bp-AMP1 complete genome	90	2	0.717904		
NC_054891.1	Ralstonia phage Anchaing, complete genome	90	3	0.399802		
NC_047816.1	Ralstonia phage RS-PI-1, complete genome	90	2	1		
NC_047804.1	Ralstonia phage RS-PII-1, complete genome	90	4	0.390308		
NC_047930.1	Ralstonia phage RsoP1IDN, complete genome	90	1	0.333072999999999		
NC_047742.1	Enterobacteria phage IME EC2, complete genome	91	2	0.695594		
NC_048067.1	Escherichia phage C130 2, complete genome	91	4	0.312544999999999		
NC_048112.1	Escherichia phage Skarpretter, complete genome	91	3	0.346817999999999		
NC_048178.1	Escherichia phage Sortsne, complete genome	91	1	0.565383		
NC_047862.1	Klebsiella phage vB KpnS IME279, complete genome	91	1	0.538904		
NC_048113.1	Salmonella phage Lumpael, complete genome	91	2	1		
NC_073612.1	Pseudomonas phage 20Sep416, complete genome	92	1	0.879261		
NC_028652.1	Pseudomonas phage C11, complete genome	92	1	0.908009		
NC_073601.1	Pseudomonas phage EM, complete genome	92	1	0.62491		
NC_073608.1	Pseudomonas phage Henu5, complete genome	92	1	0.717171		
NC_073615.1	Pseudomonas phage HJ01, complete genome	92	1	0.922739		
NC_073605.1	Pseudomonas phage ITTPL, complete genome	92	1	0.901108		
NC_019450.1	Pseudomonas phage JG004, complete genome	92	1	0.841788		
NC_030910.1	Pseudomonas phage K5, complete genome	92	1	0.913251		
NC_028817.1	Pseudomonas phage K8, complete genome	92	1	0.912525		
NC_041903.1	Pseudomonas phage PA10, complete genome	92	1	0.793161		
NC_073603.1	Pseudomonas phage PaGz-1, complete genome	92	1	0.880695		
NC_015294.2	Pseudomonas phage PAK P1, complete genome	92	1	0.887966		
NC_022967.1	Pseudomonas phage PAK P2, complete genome	92	1	0.897948		
NC_022986.1	Pseudomonas phage PAK P4, complete genome	92	1	0.91015		
NC_029083.1	Pseudomonas phage PaoP5, complete genome	92	1	0.868374		
NC_019913.1	Pseudomonas phage PaP1, complete genome	92	1	0.883711		
NC_073607.1	Pseudomonas phage PaZq-1, complete genome	92	1	0.91166		
NC_031110.1	Pseudomonas phage phiMK, complete genome	92	1	0.898494		
NC_073620.1	Pseudomonas phage phipa10, complete genome	92	1	0.928045		
NC_073610.1	Pseudomonas phage PhL UNISO PA-DSM ph0034, complete genome	92	1	0.854194		
NC_073606.1	Pseudomonas phage pPA-3099-2aT.2, complete genome	92	1	0.843784		
NC_073602.1	Pseudomonas phage SPA01, complete genome	92	1	0.809746		
NC_073604.1	Pseudomonas phage SPA05, complete genome	92	1	0.862654		
NC_073619.1	Pseudomonas phage vB PA45 GUMS, complete genome	92	1	0.930576		
NC_073611.1	Pseudomonas phage vB Pae Kat, complete genome	92	1	0.88958		
NC_073614.1	Pseudomonas phage vB PaeM B31, complete genome	92	1	0.925912		
NC_073618.1	Pseudomonas phage vB PaeM B55, complete genome	92	1	0.936124		
NC_042113.1	Pseudomonas phage vB PaeM C2-10 Ab02, complete genome	92	1	1		
NC_019918.1	Pseudomonas phage vB PaeM C2-10 Ab1 complete genome	92	1	0.85334		
NC_073613.1	Pseudomonas phage vB PaeM LCK69, complete genome	92	1	0.864807		
NC_031073.1	Pseudomonas phage vB PaeM MAG1, complete genome	92	1	0.906328		
NC_073621.1	Pseudomonas phage vB Paer Ps12, complete genome	92	1	0.880312		
NC_073623.1	Pseudomonas phage vB Paer PsCh, complete genome	92	1	0.881787		
NC_073622.1	Pseudomonas phage vB Paer PsIn, complete genome	92	1	0.872423		
NC_073616.1	Pseudomonas phage vB PaeS B8, complete genome	92	1	0.900133		
NC_073609.1	Pseudomonas phage vB PaM EPA1, complete genome	92	1	0.90352		
NC_073617.1	Pseudomonas phage YS35, complete genome	92	1	0.930353		
NC_041904.1	Pseudomonas phage Zigelbrucke, complete genome	92	1	0.906922		
NC_067270.1	Bixzunavirus I3, complete genome	93	1	0.872436		
NC_028986.1	Mycobacterium phage Alice, complete sequence	93	1	0.851349		
NC_021348.1	Mycobacterium phage ArcherS7, complete genome	93	1	0.923861		
NC_021349.1	Mycobacterium phage Astraea, complete genome	93	1	0.911351999999999		
NC_054715.1	Mycobacterium phage Bigswole, complete genome	93	1	0.87388		
NC_029044.1	Mycobacterium phage Breeniome, complete genome	93	1	0.918407		
NC_004687.1	Mycobacterium phage Bxz1, complete genome	93	1	0.904935		
NC_011271.1	Mycobacterium phage Cali, complete genome	93	1	0.898134		
NC_054716.1	Mycobacterium phage Cane17, complete genome	93	1	0.794993		
NC_008207.1	Mycobacterium phage Catera, complete genome	93	1	0.92064		
NC_054717.1	Mycobacterium phage CharlieB, complete genome	93	1	0.91426		
NC_023696.1	Mycobacterium phage Dandelion, complete genome	93	1	0.898911		
NC_013650.1	Mycobacterium phage ET08, complete genome	93	1	0.883698		
NC_021346.1	Mycobacterium phage Gizmo, complete genome	93	1	0.945172		
NC_028869.1	Mycobacterium phage HyRo, complete genome	93	1	0.890482		
NC_023714.1	Mycobacterium phage LinStu, complete genome	93	1	0.89759		
NC_041901.1	Mycobacterium phage Lukilu, complete genome	93	1	0.88233		
NC_054718.1	Mycobacterium phage Mangeria, complete genome	93	1	0.88792		
NC_023733.1	Mycobacterium phage MoMoMixon, complete genome	93	1	0.933795		
NC_011273.1	Mycobacterium phage Myrna, complete genome	93	2	0.273261		
NC_023725.1	Mycobacterium phage Nappy, complete genome	93	1	0.901544		
NC_054719.1	Mycobacterium phage NoodleTree, complete genome	93	1	0.891148		
NC_054714.1	Mycobacterium phage Phabba, complete genome	93	2	0.265598		
NC_023737.1	Mycobacterium phage Pleione, complete genome	93	1	1		
NC_054720.1	Mycobacterium phage QBert, complete genome	93	1	0.904764		
NC_054721.1	Mycobacterium phage Quasimodo, complete genome	93	1	0.911778		
NC_011272.1	Mycobacterium phage Rizal, complete genome	93	1	0.925075		
NC_054722.1	Mycobacterium phage Sauce, complete genome	93	1	0.881138		
NC_011269.2	Mycobacterium phage ScottMcG, complete genome	93	1	0.907352		
NC_041993.1	Mycobacterium phage Sebata, complete genome	93	1	0.898284		
NC_011270.1	Mycobacterium phage Spud, complete genome	93	1	0.920118		
NC_031080.1	Mycobacterium phage Tonenili, complete genome	93	1	0.739225999999999		
NC_001706.1	Lactobacillus phage c2, complete genome	94	1	0.831803		
NC_054990.1	Lactococcus phage 05802, complete genome	94	1	0.809127		
NC_054991.1	Lactococcus phage 20R03M, complete genome	94	1	0.865831		
NC_054992.1	Lactococcus phage 37203, complete genome	94	1	0.849266		
NC_054993.1	Lactococcus phage 50102, complete genome	94	1	0.863133		
NC_054994.1	Lactococcus phage 50504, complete genome	94	1	1		
NC_054995.1	Lactococcus phage 5171F, complete genome	94	1	0.736534		
NC_054996.1	Lactococcus phage 62402, complete genome	94	1	0.761314		
NC_054997.1	Lactococcus phage 62403, complete genome	94	1	0.77365		
NC_054998.1	Lactococcus phage 62606, complete genome	94	1	0.839211		
NC_001629.1	Lactococcus phage bIL67, complete genome	94	1	0.72946		
NC_055011.1	Lactococcus phage CHPC1020, complete genome	94	1	0.736645		
NC_055006.1	Lactococcus phage CHPC116, complete genome	94	1	0.830175		
NC_055012.1	Lactococcus phage CHPC1170, complete genome	94	1	0.857941		
NC_055013.1	Lactococcus phage CHPC1182, complete genome	94	1	0.724973		
NC_055014.1	Lactococcus phage CHPC1183, complete genome	94	1	0.666988		
NC_055007.1	Lactococcus phage CHPC122, complete genome	94	1	0.874283		
NC_055009.1	Lactococcus phage CHPC967, complete genome	94	1	0.683778		
NC_055010.1	Lactococcus phage CHPC972, complete genome	94	1	0.831604		
NC_031071.1	Lactococcus phage D4410, complete genome	94	1	0.769578		
NC_031009.1	Lactococcus phage D4412, complete genome	94	1	0.842803		
NC_031075.1	Lactococcus phage M5938, complete genome	94	1	0.858876		
NC_031002.1	Lactococcus phage M6162, complete genome	94	1	0.801174		
NC_031044.1	Lactococcus phage M6165, complete genome	94	1	0.781944		
NC_055017.1	Lactococcus phage PC B1, complete genome	94	1	0.825721		
NC_055018.1	Lactococcus phage PC S1, complete genome	94	1	0.861287		
NC_055016.1	Lactococcus phage vB LacS 15, complete genome	94	1	0.892115		
NC_055003.1	Lactococcus phage vB Llc bIBB12, complete genome	94	1	0.885346		
NC_054999.1	Lactococcus phage vB LLc bIBB14, complete genome	94	1	0.765103		
NC_055005.1	Lactococcus phage vB Llc bIBB94p4, complete genome	94	1	0.793535		
NC_055000.1	Lactococcus phage vB Llc bIBBA3, complete genome	94	1	0.881479		
NC_055001.1	Lactococcus phage vB Llc bIBBAm4, complete genome	94	1	0.767582		
NC_055002.1	Lactococcus phage vB Llc bIBBE1, complete genome	94	1	0.846273		
NC_055004.1	Lactococcus phage vB Llc bIBBp6 4, complete genome	94	1	0.82746		
NC_021337.1	Acinetobacter phage AB3, complete genome	95	1	0.692888		
NC_048142.1	Acinetobacter phage AbKT21phiIII, complete genome	95	1	0.834118		
NC_028848.1	Acinetobacter phage Fri1, complete genome	95	1	0.76481		
NC_028987.2	Acinetobacter phage IME200, complete genome	95	1	0.8868		
NC_023570.1	Acinetobacter phage Petty, complete genome	95	3	0.362342		
NC_028675.1	Acinetobacter phage phiAB1, complete genome	95	1	0.834584		
NC_031086.1	Acinetobacter phage phiAB6, complete genome	95	1	0.897829		
NC_041905.1	Acinetobacter phage SH-Ab 15519, complete genome	95	1	1		
NC_047896.1	Acinetobacter phage SWH-Ab-1, complete genome	95	1	0.888925		
NC_047883.1	Acinetobacter phage SWH-Ab-3, complete genome	95	1	0.866190999999999		
NC_048076.1	Acinetobacter phage vB AbaP 46-62 Aci07, complete genome	95	1	0.833784		
NC_025457.1	Acinetobacter phage vB AbaP Acibel007, complete genome	95	2	0.368727		
NC_041915.1	Acinetobacter phage vB AbaP AS11, complete genome	95	1	0.830945		
NC_041914.1	Acinetobacter phage vB AbaP AS12, complete genome	95	1	0.819778		
NC_048081.1	Acinetobacter phage vB AbaP B09 Aci08, complete genome	95	1	0.807084		
NC_042003.1	Acinetobacter phage vB AbaP B1, complete genome	95	1	0.870005		
NC_042004.1	Acinetobacter phage vB AbaP B3, complete genome	95	1	0.89662		
NC_042005.1	Acinetobacter phage vB AbaP B5, complete genome	95	1	0.821008		
NC_042124.1	Acinetobacter phage vB AbaP D2, complete genome	95	1	0.860623		
NC_028684.1	Acinetobacter phage vB AbaP PD-6A3, complete genome	95	1	0.892645		
NC_028679.1	Acinetobacter phage vB AbaP PD-AB9, complete genome	95	1	0.895001		
NC_042006.1	Acinetobacter phage vB ApiP P1, complete genome	95	1	0.810653		
NC_042007.1	Acinetobacter phage vB ApiP P2, complete genome	95	1	0.824216		
NC_041967.1	Acinetobacter phage WCHABP5, complete genome	95	1	0.859184		
NC_028247.1	Citrobacter phage Michonne, complete genome	96	1	0.69941		
NC_027293.1	Citrobacter phage Moogle, complete genome	96	1	0.718140999999999		
NC_041977.1	Citrobacter phage Mordin, complete genome	96	1	0.69812		
NC_012749.1	Enterobacteria phage WV8, complete genome	96	1	0.890322		
NC_027360.1	Enterobacteriaphage UAB Phi87, complete genome	96	1	0.876259		
NC_015292.1	Erwinia phage phiEa104, complete genome	96	2	0.288034		
NC_011811.1	Erwinia phage phiEa21-4, complete genome	96	2	0.310666		
NC_041978.1	Erwinia phage vB EamM-M7, complete genome	96	2	0.30878		
NC_041979.1	Escherichia coli O157 typing phage 1, complete genome	96	1	0.896781		
NC_027369.1	Escherichia phage EC6, complete genome	96	1	0.71109		
NC_028872.1	Escherichia phage HY02, complete genome	96	1	0.894686		
NC_029023.1	Escherichia phage JH2, complete genome	96	1	0.843208		
NC_028808.2	Escherichia phage SUSP1, complete genome	96	1	0.742732		
NC_028935.2	Escherichia phage SUSP2, complete genome	96	1	0.752145		
NC_031082.1	Escherichia phage vB EcoM Alf5, complete genome	96	1	0.869261		
NC_028825.1	Escherichia phage vB EcoM AYO145A, complete genome	96	1	1		
NC_027337.1	Escherichia phage vB EcoM-VpaE1, complete genome	96	1	0.895338		
NC_031939.1	Salmonella phage BPS15Q2, complete genome	96	1	0.88587		
NC_042096.1	Salmonella phage BPS17L1, complete genome	96	1	0.829251		
NC_042097.1	Salmonella phage BPS17W1, complete genome	96	1	0.834859999999999		
NC_041923.1	Salmonella phage Mushroom, complete genome	96	1	0.851773		
NC_041922.1	Salmonella phage Si3, complete genome	96	1	0.799796		
NC_071010.1	Salmonella phage vB SAg-RPN213, complete genome	96	1	0.834509		
NC_027329.1	Salmonella phage vB SPuM SP116, complete genome	96	1	0.836947		
NC_042017.1	Shigella phage Sf13, complete genome	96	1	0.712979		
NC_042075.1	Shigella phage Sf14, complete genome	96	1	0.70705		
NC_042076.1	Shigella phage Sf17, complete genome	96	1	0.721569		
NC_055798.1	Gordonia phage Arri, complete genome	97	1	0.839064		
NC_055804.1	Gordonia phage Bakery, complete genome	97	1	0.611094		
NC_055797.1	Gordonia phage Barb, complete genome	97	1	0.789401999999999		
NC_055867.1	Gordonia phage Clown, complete genome	97	2	0.351545		
NC_055751.1	Gordonia phage Danyall, complete genome	97	1	0.785556		
NC_055843.1	Gordonia phage Evamon, complete genome	97	1	0.848753		
NC_055816.1	Gordonia phage Fireball, complete genome	97	1	0.796807		
NC_055857.1	Gordonia phage Jambalaya, complete genome	97	1	0.842613		
NC_055752.1	Gordonia phage KimmyK, complete genome	97	1	0.928427		
NC_055785.1	Gordonia phage Mutzi, complete genome	97	1	0.717698		
NC_055810.1	Gordonia phage Nubi, complete genome	97	1	0.784041		
NC_055920.1	Gordonia phage Phlop, complete genome	97	1	0.905148		
NC_055861.1	Gordonia phage Portcullis, complete genome	97	1	0.810524999999999		
NC_055805.1	Gordonia phage RogerDodger, complete genome	97	1	0.830874		
NC_055795.1	Gordonia phage SmokingBunny, complete genome	97	1	0.84356		
NC_055765.1	Gordonia phage TillyBobJoe, complete genome	97	1	0.800896		
NC_031052.1	Gordonia phage Twister6, complete genome	97	1	0.801231		
NC_055799.1	Gordonia phage Valary, complete genome	97	1	0.93201		
NC_055796.1	Gordonia phage VanDeWege, complete genome	97	1	0.855506		
NC_030913.1	Gordonia phage Wizard, complete genome	97	1	1		
NC_070866.1	Pseudomonas phage 98PfluR60PP, complete genome	98	3	0.281112		
NC_028885.1	Pseudomonas phage DL64, complete genome	98	1	0.917578		
NC_029017.1	Pseudomonas phage KPP21 DNA, complete genome	98	2	0.424073		
NC_013692.1	Pseudomonas phage LIT1, complete genome	98	1	0.885396		
NC_048697.1	Pseudomonas phage Littlefix, complete genome	98	3	0.265985		
NC_013691.1	Pseudomonas phage LUZ7, complete genome	98	2	0.416545999999999		
NC_027345.1	Pseudomonas phage Pa2, complete genome	98	1	0.907592		
NC_041907.1	Pseudomonas phage PA26, complete genome	98	1	0.918763		
NC_070864.1	Pseudomonas phage PAP02, complete genome	98	1	0.869113		
NC_031063.1	Pseudomonas phage PEV2, complete genome	98	1	0.912044		
NC_048003.1	Pseudomonas phage phCDa, complete genome	98	4	0.261049		
NC_070865.1	Pseudomonas phage vB Pae575P-3, complete genome	98	1	0.897948		
NC_024140.1	Pseudomonas phage vB PaeP C2-10 Ab09, complete genome	98	1	0.869035		
NC_031104.1	Pseudomonas phage vB PaeP MAG4, complete genome	98	1	0.905978		
NC_070863.1	Pseudomonas phage vB PaeP TUMS P121, complete genome	98	1	1		
NC_070862.1	Pseudomonas phage VB PaeS VL1, complete genome	98	1	0.908815		
NC_029101.1	Pseudomonas phage YH30, complete genome	98	1	0.914025		
NC_027388.1	Pseudomonas phage YH6, complete genome	98	1	0.893269		
NC_070938.1	Arthrobacter phage Arcadia, complete genome	99	2	0.292756		
NC_073329.1	Arthrobacter phage Breylor17, complete genome	99	1	0.919385		
NC_041951.1	Arthrobacter phage CaptnMurica, complete genome	99	1	0.807438		
NC_073331.1	Arthrobacter phage CastorTray, complete genome	99	1	0.922656		
NC_070940.1	Arthrobacter phage Cheesy, complete genome	99	2	0.290151999999999		
NC_041948.1	Arthrobacter phage Circum, complete genome	99	2	0.289881		
NC_070941.1	Arthrobacter phage Correa, complete genome	99	2	0.293354		
NC_073334.1	Arthrobacter phage Darby, complete genome	99	1	0.920387		
NC_073335.1	Arthrobacter phage DevitoJr, complete genome	99	1	0.927079		
NC_070946.1	Arthrobacter phage Dynamite, complete genome	99	2	0.292921		
NC_041952.1	Arthrobacter phage Gordon, complete genome	99	1	0.855397		
NC_070943.1	Arthrobacter phage Heisenberger, complete genome	99	2	0.291035		
NC_070944.1	Arthrobacter phage JEGGS, complete genome	99	2	0.290707999999999		
NC_070945.1	Arthrobacter phage Kardesai, complete genome	99	2	0.29223		
NC_070947.1	Arthrobacter phage KeaneyLin, complete genome	99	2	0.293845		
NC_031224.2	Arthrobacter phage Mudcat, complete genome	99	2	0.287917		
NC_073328.1	Arthrobacter phage Nightmare, complete genome	99	1	0.873066		
NC_073327.1	Arthrobacter phage Niktson, complete genome	99	1	0.828624		
NC_073336.1	Arthrobacter phage ScienceWizSam, complete genome	99	1	0.920239		
NC_073330.1	Arthrobacter phage Synepsis, complete genome	99	1	0.914849		
NC_073332.1	Arthrobacter phage Tatanka, complete genome	99	1	0.892285		
NC_073326.1	Arthrobacter phage Teacup, complete genome	99	1	0.832758		
NC_070939.1	Arthrobacter phage Tribby, complete genome	99	2	0.289231		
NC_073333.1	Arthrobacter phage Trustiboi, complete genome	99	1	1		
NC_070942.1	Arthrobacter phage Xenomorph, complete genome	99	2	0.292691		
NC_042106.1	Streptomyces phage Bing, complete genome	99	4	0.261744		
NC_042016.1	Streptomyces phage DrGrey, complete genome	99	3	0.261671		
NC_041889.1	Streptomyces phage Rima, complete genome	99	3	0.266548		
NC_042042.1	Streptomyces phage Scap1, complete genome	99	5	0.29115		
NC_018835.1	Enterobacteria phage NJ01, complete genome	100	1	0.73992		
NC_028903.1	Escherichia phage 172-1, complete genome	100	1	0.856775		
NC_018859.1	Escherichia phage ECBP2, complete genome	100	1	0.613502		
NC_070981.1	Escherichia phage EK010 DNA, complete sequence	100	1	0.571164999999999		
NC_070979.1	Escherichia phage EP335, complete genome	100	1	0.670689		
